[CFLAT] rand_beebs | branches=0 calls=0 returns=1
[CFLAT] sglib_iq_first_element_ptr | branches=0 calls=0 returns=1
[CFLAT] sglib_iq_add_next | branches=2 calls=0 returns=1
[CFLAT] sglib_iq_add | branches=2 calls=0 returns=1
[CFLAT] sglib_iq_delete_first | branches=2 calls=0 returns=1
[CFLAT] sglib_iq_delete | branches=2 calls=0 returns=1
[CFLAT] sglib___rbtree_delete_recursive | branches=28 calls=6 returns=1
[CFLAT] sglib___rbtree_fix_left_deletion_discrepancy | branches=41 calls=0 returns=1
[CFLAT] sglib___rbtree_fix_right_deletion_discrepancy | branches=41 calls=0 returns=1
[CFLAT] sglib___rbtree_delete_rightmost_leaf | branches=11 calls=2 returns=1
[CFLAT] sglib_rbtree_add | branches=0 calls=1 returns=1
[CFLAT] sglib___rbtree_add_recursive | branches=12 calls=4 returns=1
[CFLAT] sglib_rbtree_delete | branches=2 calls=1 returns=1
[CFLAT] sglib_rbtree_find_member | branches=9 calls=0 returns=1
[CFLAT] sglib_rbtree_is_member | branches=14 calls=0 returns=1
[CFLAT] sglib_rbtree_delete_if_member | branches=3 calls=2 returns=1
[CFLAT] sglib_rbtree_add_if_not_member | branches=3 calls=2 returns=1
[CFLAT] sglib_rbtree_len | branches=15 calls=0 returns=1
[CFLAT] sglib__rbtree_it_compute_current_elem | branches=41 calls=0 returns=1
[CFLAT] sglib__rbtree_it_init | branches=30 calls=1 returns=1
[CFLAT] sglib_rbtree_it_init | branches=0 calls=1 returns=1
[CFLAT] sglib_rbtree_it_init_preorder | branches=0 calls=1 returns=1
[CFLAT] sglib_rbtree_it_init_inorder | branches=0 calls=1 returns=1
[CFLAT] sglib_rbtree_it_init_postorder | branches=0 calls=1 returns=1
[CFLAT] sglib_rbtree_it_init_on_equal | branches=0 calls=1 returns=1
[CFLAT] sglib_rbtree_it_current | branches=0 calls=0 returns=1
[CFLAT] sglib_rbtree_it_next | branches=0 calls=1 returns=1
[CFLAT] sglib___rbtree_consistency_check | branches=0 calls=1 returns=1
[CFLAT] sglib___rbtree_consistency_check_recursive | branches=13 calls=4 returns=1
[CFLAT] verify_benchmark | branches=17 calls=3 returns=1
[CFLAT] initialise_benchmark | branches=0 calls=0 returns=1
[CFLAT] warm_caches | branches=0 calls=1 returns=1
[CFLAT] benchmark_body | branches=140 calls=16 returns=1
[CFLAT] benchmark | branches=0 calls=1 returns=1
[CFLAT] main | branches=0 calls=4 returns=1
[CFLAT] sglib___rbtree_fix_left_insertion_discrepancy | branches=20 calls=0 returns=1
[CFLAT] sglib___rbtree_fix_right_insertion_discrepancy | branches=20 calls=0 returns=1
clang: warning: argument unused during compilation: '-I ./counter' [-Wunused-command-line-argument]
clang: warning: argument unused during compilation: '-I ./embench-iot-benchmarks-backup' [-Wunused-command-line-argument]
